Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-07-01 14:33:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345821826846990338,"I'm off for a 10-day Vipassana meditation program.""
""""
""𝗪𝗛𝗔𝗧? A 10-day residential meditation. No phone, laptop, or speaking. https://www.dhamma.org/""
""𝗪𝗛𝗘𝗡? From today until next Sunday (13 July)""
""𝗪𝗛𝗘𝗥𝗘? Near Chennai. https://lnkd.in/geGVFynY""
""𝗪𝗛𝗬? I've heard good things and am curious.""
""𝗦𝗨𝗥𝗘? I've never been away from tech for this long. Let's see!""
""""
""I've scheduled LinkedIn posts, so you'll still see stuff. But I won't be replying.","","",MEMBER_NETWORK
2025-07-01 08:53:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345736358277103616,"If someone asked me, ""What's changed this year in LLMs"", here's my list:""
""""
""Prompt engineering is out. Evals are in. https://lnkd.in/gfF-6giV""
""Hallucinations are fewer and solvable by double-checking. https://lnkd.in/gUhPp22n""
""LLMs are great for throwaway code / tools. https://lnkd.in/g8u4jsYH""
""LLMs can analyze data. No more Excel. https://lnkd.in/gdMBtW6y""
""LLMs are good psychologists. https://lnkd.in/gAJuFnsh""
""Image generation is much better. https://lnkd.in/g4Tg_cDB""
""LLMs can speak well enough to co-host a panel. https://lnkd.in/gQ59apG4""
""... and create podcasts. https://lnkd.in/gvCAdDpm""
""""
""But:""
""""
""LLMs are still not great at slides. https://lnkd.in/gQQwG_a6""
""LLMs still can't follow a data visualization style guide.""
""LLMs can't yet create good sketch notes.""
""LLMs still draw bounding boxes as well as specialized models.""
""Agents (LLMs running tools in a loop) can think only for ~6 min.""
""""
""What's on your list of things LLMs still can't do?","","",MEMBER_NETWORK
2025-07-01 06:46:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345704252889059331,"LLMs are smarter than us in many areas. How do we control them?""
""""
""It's not a new problem.""
""""
""𝗩𝗖 𝗽𝗮𝗿𝘁𝗻𝗲𝗿𝘀 evaluate deep-tech startups.""
""𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗲𝗱𝗶𝘁𝗼𝗿𝘀 review Nobel laureates.""
""𝗠𝗮𝗻𝗮𝗴𝗲𝗿𝘀 manage specialist teams.""
""𝗝𝘂𝗱𝗴𝗲𝘀 evaluate expert testimony.""
""𝗖𝗼𝗮𝗰𝗵𝗲𝘀 train Olympic athletes.""
""""
""… and they manage and evaluate ""smarter"" outputs in 𝘮𝘢𝘯𝘺 ways:""
""""
""𝗩𝗲𝗿𝗶𝗳𝘆. Check against an ""answer sheet"".""
""𝗖𝗵𝗲𝗰𝗸𝗹𝗶𝘀𝘁. Evaluate against pre-defined criteria.""
""𝗦𝗮𝗺𝗽𝗹𝗶𝗻𝗴. Randomly review a subset.""
""𝗚𝗮𝘁𝗶𝗻𝗴. Accept low-risk work. Evaluate critical ones.""
""𝗕𝗲𝗻𝗰𝗵𝗺𝗮𝗿𝗸. Compare against others.""
""𝗥𝗲𝗱-𝘁𝗲𝗮𝗺. Probe to expose hidden flaws.""
""𝗗𝗼𝘂𝗯𝗹𝗲-𝗯𝗹𝗶𝗻𝗱 𝗿𝗲𝘃𝗶𝗲𝘄. Mask identity to curb bias.""
""𝗥𝗲𝗽𝗿𝗼𝗱𝘂𝗰𝗲. Re-running gives the same output?""
""𝗖𝗼𝗻𝘀𝗲𝗻𝘀𝘂𝘀. Ask many. Wisdom of crowds.""
""𝗢𝘂𝘁𝗰𝗼𝗺𝗲. Did it work in the real world?""
""""
""For example, you can apply them to:""
""""
""𝗩𝗶𝗯𝗲 𝗰𝗼𝗱𝗶𝗻𝗴: Non-programmers might glance at lint checks (𝘊𝘩𝘦𝘤𝘬𝘭𝘪𝘴𝘵) and see if it works (𝘖𝘶𝘵𝘤𝘰𝘮𝘦).""
""𝗟𝗟𝗠 𝗶𝗺𝗮𝗴𝗲 𝗱𝗲𝘀𝗶𝗴𝗻𝘀: Developers might check if a few images look good (𝘚𝘢𝘮𝘱𝘭𝘪𝘯𝘨) and check a few marketers (𝘊𝘰𝘯𝘴𝘦𝘯𝘴𝘶𝘴).""
""𝗟𝗟𝗠 𝗻𝗲𝘄𝘀 𝗮𝗿𝘁𝗶𝗰𝗹𝗲𝘀: An journalist might run a 𝘊𝘩𝘦𝘤𝘬𝘭𝘪𝘴𝘵, a 𝘋𝘰𝘶𝘣𝘭𝘦-𝘣𝘭𝘪𝘯𝘥 𝘳𝘦𝘷𝘪𝘦𝘸 with experts, and 𝘝𝘦𝘳𝘪𝘧𝘺 critical facts (𝘎𝘢𝘵𝘪𝘯𝘨).""
""""
""You 𝘢𝘭𝘳𝘦𝘢𝘥𝘺 know many of these. You learnt them in Auditing. Statistics. Law. System controls. Policy analysis. Quality engineering. Clinical epidemiology. Investigative journalism. Design critique.""
""""
""Worth brushing up on these skills. They're 𝘮𝘰𝘳𝘦 important in the AI era.""
""""
""ChatGPT: https://lnkd.in/g-q6jttw","","",MEMBER_NETWORK
2025-07-01 04:07:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345664356799401986,"I catch up on long WhatsApp group discussions as podcasts.""
""""
""The quick way is to scroll on WhatsApp Web, select all, paste into NotebookLM, and create the podcast.""
""""
""Mine is a bit more complicated. Here's an example:""
""""
""• Use a bookmarklet to scrape the messages https://lnkd.in/gXXHQK28""
""• Generate a 2-person script https://lnkd.in/gQqEYWpM""
""• Have 𝚐𝚙𝚝-𝟰𝚘-𝚖𝚒𝚗𝚒-𝚝𝚝𝚜 convert each line using a different voice https://www.openai.fm/""
""• Combine using 𝚏𝚏𝚖𝚙𝚎𝚐 https://ffmpeg.org/""
""• Publish on GitHub Releases https://lnkd.in/gEUiCbpZ""
""""
""I run this every week. So far, it's proved quite enlightening.""
""""
""Podcast: https://lnkd.in/gc7BDN6E: https://lnkd.in/gcqgWWVh","","",MEMBER_NETWORK
2025-06-29 12:20:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345063583124213761,"My VizChitra talk on 𝗗𝗮𝘁𝗮 𝗗𝗲𝘀𝗶𝗴𝗻 𝗯𝘆 𝗗𝗶𝗮𝗹𝗼𝗴 was on LLMs helping in every stage of data storytelling.""
""""
""Main 𝘁𝗮𝗸𝗲𝗮𝘄𝗮𝘆𝘀:""
""""
""• After open data, LLMs may the single biggest act of data democratization. https://lnkd.in/giMkK2QC""
""• LLMs can help in every step of the (data) value chain. https://lnkd.in/gFndWxXW""
""• LLMs are bad with numbers. Have them write code instead. https://lnkd.in/gMXUTBd7""
""• Don't confuse it. Just ask it again. https://lnkd.in/gKcKpFfA""
""• If it doesn't work, throw it away and redo it. https://lnkd.in/gXHsvs2J""
""• Keep an impossibility list. Revisit it whenever a new model drops. https://lnkd.in/gXHsvs2J""
""• Never ask for just one output from an LLM. Ask for a dozen. https://lnkd.in/gYvkffBG""
""• Our imagination is the limit. https://lnkd.in/gAruKRbH""
""• Two years ago, they were like grade 8 students. Today, a postgraduate. https://lnkd.in/gFndWxXW""
""• Do as little as possible. Just wait. Models will catch up. https://lnkd.in/gBhibWFM""
""""
""𝗙𝘂𝗻𝗻𝘆 bits:""
""""
""• This is how it's done. How else would we do it? https://lnkd.in/gP2EKyqU""
""• Some people call biases domain expertise. https://lnkd.in/gw7He2UC""
""• I don't like work. I like playing Bubbles. So, have 𝘪𝘵 do the work. https://lnkd.in/gVatnXJi""
""• More metrics, more quirky! https://lnkd.in/g43uzXaN""
""• Amuse me! https://lnkd.in/g-2Fw-RU""
""""
""""
""Slides: https://lnkd.in/gxpsdHrG""
""Video: https://lnkd.in/gQ4skRhY""
""Transcript: https://lnkd.in/grFH586m",https://youtu.be/hPH5_ulHtno?t=01m24s,"",MEMBER_NETWORK
2025-06-29 10:25:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345034606443642880,"We created data visualizations 𝘫𝘶𝘴𝘵 using LLMs at my VizChitra workshop yesterday.""
""""
""Titled 𝗣𝗿𝗼𝗺𝗽𝘁 𝘁𝗼 𝗣𝗹𝗼𝘁, it covered:""
""""
""• Finding a dataset""
""• Ideating what to do with it""
""• Analyzing the data""
""• Visualizing the data""
""• Publishing it on GitHub""
""""
""... using 𝘰𝘯𝘭𝘺 LLM tools like #ChatGPT, #Claude, #Jules, #Codex, etc. with zero manual coding, analysis, or story writing.""
""""
""Here're 6 stories completed 𝘥𝘶𝘳𝘪𝘯𝘨 the 3-hour workshop:""
""""
""Spotify Data Stories: https://lnkd.in/gaeYG3Sf""
""The Price of Perfection: https://lnkd.in/gu4ZrNAf""
""The Anatomy of Unrest: https://lnkd.in/gDnnrGPh""
""The Page Turner's Paradox: https://lnkd.in/gVGWggRC""
""Do Readers Love Long Books? https://lnkd.in/gQiyvnBK""
""Books Viz: https://lnkd.in/gCK6y5pi""
""""
""The material is online. Try it!""
""""
""Slides: https://lnkd.in/gqR5qZ-Q""
""Video: https://lnkd.in/g3gBauFY","","",MEMBER_NETWORK
2025-06-29 09:40:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7345023435502178304,"Here's my mid-year Goals Bingo status. 𝗟𝗲𝗴𝗲𝗻𝗱: 🔵 Done 🟢 On track 🟡 Maybe 🔴 Looks hard""
""""
""𝗣𝗲𝗼𝗽𝗹𝗲""
""🟢 Better husband. Going OK""
""🟡 Meet all first cousins. 8/14""
""🔵 Interview 10 experts. 11/10""
""🟡 Live with a stranger. Tried a homestay, but...""
""""
""𝗘𝗱𝘂𝗰𝗮𝘁𝗶𝗼𝗻""
""🔴 50 books. At 6/50. https://lnkd.in/gFsmyz7s""
""🟡 Teach 5,000 students. Now nearing ~3,000""
""🟡 Run a course only with AI. Part done: Ran a workshop with AI  ""
""""
""𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆""
""🔵 Co-present with an AI. Done. https://lnkd.in/gAxAjm-t""
""🟢 20 data stories. At 10/20. https://lnkd.in/gnJeUCPw""
""🔴 LLM Foundry: 5K MaU. Currently 1.5K MaU and shrinking""
""🟡 Build a robot. No progress""
""""
""𝗛𝗲𝗮𝗹𝘁𝗵""
""🟢 300 days of yoga. 183/183 days so far!""
""🟡 80 heart points/day. Far from it""
""🔴 Bike 300 hrs. Far from it""
""🟢 Vipassana. Planned: 2 Jul 2025""
""""
""𝗪𝗲𝗮𝗹𝘁𝗵""
""🔴 Buy low. No progress""
""🔴 Beat inflation 5%. Not started""
""🟡 Donate $10K. Ideating""
""🔴 Fund a startup. Not started""
""""
""Observations: 𝗣𝗲𝗼𝗽𝗹𝗲 𝗴𝗼𝗮𝗹𝘀 𝗮𝗿𝗲 𝗢𝗞. That surprised me. 𝗪𝗲𝗮𝗹𝘁𝗵 𝗴𝗼𝗮𝗹𝘀 𝗮𝗿𝗲 𝗻𝗼𝘁. No surprise.""
""""
""New goals are fine. Repeat goals are fine too. 𝗦𝘁𝗿𝗲𝘁𝗰𝗵 𝗴𝗼𝗮𝗹𝘀 𝗮𝗿𝗲 𝗹𝗲𝗮𝘀𝘁 𝗹𝗶𝗸𝗲𝗹𝘆. I'm worse at follow-up or scaling, it seems.","","",MEMBER_NETWORK
2025-06-29 04:10:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7344940195856752642,"How long have 𝘺𝘰𝘶 made ChatGPT think? My highest was 6m 50s, with the question: 𝘏𝘦𝘳𝘦 𝘢𝘳𝘦 𝘷𝘦𝘩𝘪𝘤𝘭𝘦 𝘵𝘦𝘭𝘦𝘮𝘢𝘵𝘪𝘤𝘴 𝘴𝘵𝘢𝘵𝘴 𝘧𝘰𝘳 2 𝘮𝘰𝘯𝘵𝘩𝘴. 𝘜𝘯𝘻𝘪𝘱 𝘪𝘵 𝘢𝘯𝘥 𝘵𝘢𝘬𝘦 𝘢 𝘭𝘰𝘰𝘬. 𝘍𝘪𝘯𝘥 𝘪𝘯𝘵𝘦𝘳𝘦𝘴𝘵𝘪𝘯𝘨 𝘪𝘯𝘴𝘪𝘨𝘩𝘵𝘴 𝘧𝘳𝘰𝘮 𝘵𝘩𝘪𝘴 𝘥𝘢𝘵𝘢. 𝘓𝘰𝘰𝘬 𝘩𝘢𝘳𝘥 𝘶𝘯𝘵𝘪𝘭 𝘺𝘰𝘶 𝘧𝘪𝘯𝘥 𝘢𝘵 𝘭𝘦𝘢𝘴𝘵 5 𝘴𝘶𝘳𝘱𝘳𝘪𝘴𝘪𝘯𝘨 𝘪𝘯𝘴𝘪𝘨𝘩𝘵𝘴 𝘧𝘳𝘰𝘮 𝘵𝘩𝘪𝘴.""
""""
""The next largest thinking block (5m 42s) was where I asked: 𝘐 𝘸𝘰𝘶𝘭𝘥 𝘭𝘪𝘬𝘦 𝘵𝘰 𝘦𝘹𝘱𝘭𝘰𝘳𝘦 𝘱𝘢𝘳𝘢𝘭𝘭𝘦𝘭𝘴 𝘵𝘰 𝘵𝘩𝘦 𝘤𝘶𝘳𝘳𝘦𝘯𝘵 𝘱𝘩𝘦𝘯𝘰𝘮𝘦𝘯𝘰𝘯 𝘸𝘩𝘦𝘳𝘦 𝘪𝘯𝘵𝘦𝘭𝘭𝘪𝘨𝘦𝘯𝘤𝘦 𝘪𝘴 𝘣𝘦𝘤𝘰𝘮𝘪𝘯𝘨 𝘵𝘰𝘰 𝘤𝘩𝘦𝘢𝘱 𝘵𝘰 𝘮𝘦𝘵𝘦𝘳. 𝘏𝘪𝘴𝘵𝘰𝘳𝘪𝘤𝘢𝘭𝘭𝘺, 𝘣𝘰𝘵𝘩 𝘪𝘯 𝘳𝘦𝘤𝘦𝘯𝘵 𝘩𝘪𝘴𝘵𝘰𝘳𝘺 𝘢𝘴 𝘸𝘦𝘭𝘭 𝘢𝘴 𝘰𝘷𝘦𝘳 𝘢𝘯𝘤𝘪𝘦𝘯𝘵 𝘩𝘪𝘴𝘵𝘰𝘳𝘺, 𝘸𝘩𝘢𝘵 𝘵𝘦𝘤𝘩𝘯𝘰𝘭𝘰𝘨𝘪𝘦𝘴 𝘩𝘢𝘷𝘦 𝘮𝘢𝘥𝘦 𝘸𝘩𝘢𝘵 𝘬𝘪𝘯𝘥 𝘰𝘧 𝘵𝘢𝘴𝘬𝘴 𝘴𝘰 𝘤𝘩𝘦𝘢𝘱 𝘵𝘩𝘢𝘵 𝘵𝘩𝘦𝘺 𝘢𝘳𝘦 𝘵𝘰𝘰 𝘤𝘩𝘦𝘢𝘱 𝘵𝘰 𝘮𝘦𝘵𝘦𝘳? 𝘎𝘪𝘷𝘦 𝘮𝘦 𝘢 𝘸𝘪𝘥𝘦 𝘳𝘢𝘯𝘨𝘦 𝘰𝘧 𝘦𝘹𝘢𝘮𝘱𝘭𝘦𝘴""
""""
""Completing long tasks is one measure of intelligence. 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗶𝗻𝗱𝗲𝗽𝗲𝗻𝗱𝗲𝗻𝘁𝗹𝘆 𝗳𝗼𝗿 𝗹𝗼𝗻𝗴 is another. O3 is at ~6 minutes. While it works, I'm practicing Bubble Shooter in 6 minutes!""
""""
""Completing long tasks: https://lnkd.in/g9scqvhJ""
""""
""You can do try this on your history. If you managed to beat 7 minutes, could you please share your prompt?""
""""
""How to export ChatGPT history: https://lnkd.in/gEkj2_B3""
""How to analyze thinking time: https://lnkd.in/gexbnJuW""
""""
""... or run:""
""""
""𝚗𝚙𝚡 -𝚙 𝚌𝚑𝚊𝚝𝚐𝚙𝚝-𝚝𝚘-𝚖𝚊𝚛𝚔𝚍𝚘𝚠𝚗 𝚝𝚑𝚒𝚗𝚔𝚝𝚒𝚖𝚎 𝚌𝚘𝚗𝚟𝚎𝚛𝚜𝚊𝚝𝚒𝚘𝚗𝚜.𝚓𝚜𝚘𝚗""
""","","",MEMBER_NETWORK
2025-06-22 18:09:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7342614627509313536,"Here's how I use ChatGPT, based on the ~6,000 conversations I've had in 2 years.""
""""
""My top use, by far, is for 𝘁𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆. ""Modern JavaScript Coding"" and ""Python Coding Questions"" are ~30% of my queries. There's a long list with Markdown, GitLab, GitHub, Shell, D3, Auth, JSON, CSS, DuckDB, SQLite, Pandas, FFMPeg, etc. featured prominently.""
""""
""Next is to 𝗯𝗿𝗮𝗶𝗻𝘀𝘁𝗼𝗿𝗺 𝗔𝗜 𝘂𝘀𝗲: ""AI Panel Discussions"", ""AI Trends and Business Impact"", ""LLM Applications and DSLs"", ""Industry Use Cases and Metrics"" are also fast growing categories. I brainstorm talk outlines, refine slide deck narratives, and plan business ideas.""
""""
""Thirdly, I use it for 𝗿𝗲𝗮𝗱𝗶𝗻𝗴/𝘄𝗿𝗶𝘁𝗶𝗻𝗴. ""Article Summaries and Insights"", ""Writing Style and Editing"".""
""""
""Lastly, for 𝗽𝗲𝗿𝘀𝗼𝗻𝗮𝗹 𝗮𝗱𝘃𝗶𝗰𝗲. ""Personal Advice and Replies"" and ""Singapore Travel Queries"" are in this bucket.""
""""
""Then there are niches like 𝗶𝗺𝗮𝗴𝗲 𝗴𝗲𝗻𝗲𝗿𝗮𝘁𝗶𝗼𝗻 (""Image Generation and Annotation"", ""Calvin and Hobbes Comics""), 𝗿𝗲𝘀𝗲𝗮𝗿𝗰𝗵 (""Fact Checking and Trivia""), 𝗲𝗺𝗮𝗶𝗹𝘀 (""Email Analysis and Spam Detection""), and 𝘁𝗲𝗮𝗰𝗵𝗶𝗻𝗴 (""Education and Student Projects"").""
""""
""6,000 chats saved me perhaps 600 hours. ChatGPT's ""given"" me a month of life-time for $600 -- which I reinvested into teaching and tinkering.""
""""
""Today, 70% of my prompts are code. In five years, that might drop as AI handles coding, and I tackle strategy and thinking. My prompt portfolio 𝗶𝘀𝗻'𝘁 𝗳𝘂𝘁𝘂𝗿𝗲-𝗽𝗿𝗼𝗼𝗳? Is yours?""
""""
""There's no finance, music, or philosophy. My prompts mirror my 𝗯𝗹𝗶𝗻𝗱 𝘀𝗽𝗼𝘁𝘀. Should I force one prompt a week in a category I've never explored? Would you?","","",MEMBER_NETWORK
2025-06-22 10:49:05,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7342503891692867587,"I'm planning four 30-min 1-on-1 slots to discuss LLM use-cases. Ask me anything on LLMs. I'll share what I know.""
""""
""If interested, please fill this in: https://lnkd.in/gjcsWei6""
""""
""WHEN: 30 Jun / 1 July, IST. I'll revert by 26 Jun to schedule time.""
""WHY: I want to learn new uses for LLMs and share what I know.""
""WHO: I'll contact you based on what you'd like to discuss.""
""WHERE: Google Meet. I'll share an invite when mutually convenient.","","",MEMBER_NETWORK
